k1,k2,k3,t1,t2,t3,loop,cost,accuracy,Singular
0,-1,-1,0,0,0,0,0.0194157232653195,27.848101265822784,1
1,-1,0,2,0,0,9,0.0673236652494932,36.70886075949368,0
1,-1,0,4,0,0,9,0.0733348806654321,37.721518987341774,0
1,0,-1,2,0,0,9,0.0735278859128817,39.24050632911392,0
1,0,-1,4,0,0,9,0.0805170555064416,40.37974683544304,0
1,1,0,2,2,0,9,0.0969130591429336,42.27848101265823,0
1,1,0,4,2,0,9,0.1008733915346071,43.16455696202532,0
1,1,1,2,2,2,9,0.1135588676781185,43.41772151898734,0
1,1,1,4,2,2,9,0.1172240875668239,44.43037974683544,0
1,1,1,4,2,4,9,0.1301553808786995,44.81012658227848,0
1,1,1,4,4,2,9,0.1336112155984574,45.31645569620253,0
1,1,1,4,4,4,9,0.1459986238842017,45.69620253164556,0
1,1,3,4,2,2,9,0.3268003046539896,51.64556962025316,0
1,1,3,4,4,2,9,0.3364778913991332,52.27848101265823,0
1,1,3,4,4,4,9,0.4229239042520408,53.16455696202531,0
1,1,5,4,4,2,9,0.5733751850007519,55.31645569620254,0
3,1,1,2,2,2,9,0.210816526057412,45.82278481012658,0
3,1,1,2,2,4,9,0.2198747726361193,46.202531645569614,0
3,1,1,2,4,2,9,0.2261517338183729,46.83544303797469,0
3,1,1,2,4,4,9,0.2339612398886531,47.08860759493671,0
3,1,1,4,2,4,9,0.2738920643073087,47.21518987341772,0
3,1,1,4,4,2,9,0.2799947867239892,47.848101265822784,0
3,1,3,2,2,2,9,0.3888400947900448,52.40506329113924,0
3,1,3,2,4,2,9,0.3959389808772592,53.0379746835443,0
3,1,3,2,4,4,9,0.4652148117392948,54.050632911392405,0
3,1,3,4,2,4,9,0.4962825052836849,54.177215189873415,0
3,1,3,4,4,2,9,0.4356702904591275,53.54430379746835,0
3,1,3,4,4,4,9,0.4985390093765577,54.55696202531646,0
3,1,5,2,4,2,9,0.5978056886926711,55.44303797468355,0
3,1,5,4,4,4,9,0.7488992865846558,57.21518987341773,0
3,1,10,4,4,2,9,1.1315431335116342,59.24050632911392,0
3,5,-1,4,4,0,9,0.9431700420686876,58.35443037974684,0
3,10,-1,4,2,0,9,1.505131562454047,60.63291139240506,0
3,10,-1,4,4,0,9,1.923554880051611,63.54430379746836,0
5,-1,-1,2,0,0,9,0.281233410940971,48.10126582278481,1
10,-1,-1,2,0,0,9,0.6214215824267255,56.58227848101266,1
-1,0,-1,0,0,0,0,0.0882331648657153,30.37974683544304,1
-1,10,-1,0,2,0,9,2.6780726273741617,58.22784810126582,1
-1,10,-1,0,4,0,9,3.438401501260745,61.51898734177215,1
3,-1,-1,2,0,0,9,0.147386395216931,40.63291139240507,1
3,-1,-1,4,0,0,9,0.2089169278080443,44.81012658227848,1
